OK,2026/03/21,5,"本日は可愛く撮影していただきありがとうございました！
かわいい〜と声が自然に出てしまうほど全部が可愛過ぎて一生の思い出になりました＾＾
この子がいつか結婚する時にこのデータが役に立てばいいなぁと思います✨

こちらのご要望にも色々とお答えしていただきありがとうございました😊
また機会がありましたらよろしくお願いいたします。"
OK,2026/03/24,4,"赤ちゃんを本当に可愛がってくれており安心してお任せできました。
ありがとうございます！"
OK,2026/03/28,5,ベビーのペースに合わせて撮影方法を柔軟に変えて撮影してくださり、とても助かりました。裸ん坊のうつぶせチャレンジはできませんでしたが、おくるみやお座りショットなど、ベビーの状態に合わせたショットをたくさん撮ってもらえてとっても嬉しかったです！ありがとうございました！
OK,2026/04/05,5,"機嫌が悪くなって泣きわめいたりしちゃうかなっていう心配もありましたが撮影時に優しくしゃべりかけてくれて最後まで機嫌良く寝て撮影をしてくださって安心しました。
撮影セットも可愛くて映えていました。
撮影の合間も気さくに話しかけてくれて私たちも緊張がとけて楽しめました。
写真やアルバム、キーホルダーの完成するのが楽しみです。"
OK,2026/04/12,5,"上の子の時に憧れていたものの、入院などのトラブルが重なり、
泣く泣く断念したマタニティフォト。
今回、念願叶いました～！！
プロの手で撮影していただけて
本当に本当に一生の思い出になりました。
とても嬉しかったです。(*^o^*)
（今回も直前までトラブルがあって、ヒヤヒヤしましたが(^_^;)）

大きなおなかだけではなく、
大切な家族との【今】を記念に残せたこと、
本当に良かったです！
何年経っても、【この瞬間】を思い返せる１枚１枚だと感じました。

妊婦の身体は予測不可能で、
万全の体調で当日を迎えたつもりだったのですが、
まさかの撮影中に調子を崩してしまい、
「不味い」「ヤバイ」「時間」と、気持ちだけが焦る中、
「焦らないで大丈夫ですよ」など優しく声をかけてくださり、
時間優先ではなく、私の体調に合わせて、
最後まで撮影をしていただけたこと
感謝の想いでいっぱいです。

ありがとうございました(*^_^*)"
NG,2026/04/13,5,"長い時間ありがとうございました。
最初ニューボーンフォトをお願いするにあたって
巻き方だったり姿勢だったり赤ちゃんにとって苦しくないかな？大丈夫かなと不安に思うこともありましたが
助産師さんがきてくださると言うことで安心してお任せする事ができました。
とても丁寧に対応頂き、沢山写真も撮って頂けて嬉しかったです。
生花をプラスして購入しましたが、写真映えしてとても可愛かったです。出来上がりが楽しみです。"
OK,2026/04/15,5,"念願の兄弟ショットは、
お兄ちゃんのやる気スイッチが切れてしまい
弟の横に並んでもらうのに一苦労しましたが
カメラマンさんの子供に対しての接し方が
素晴らしくて、お写真もいい感じの雰囲気の
ショットを納めて下さり、さすがプロ！！
だと思いました😳✨"
OK,2026/04/18,5,"本日は可愛い写真をありがとうございました。
1人目はコロナ禍での出産で、ニューボーンフォトを撮れていなかったので、
今回2人目だけ撮るのはどうしようかと悩んでいたのですが、兄弟の写真をとっても素敵に撮って頂き、兄になった長男にとっても、次男にとっても素敵な思い出を残せたのでお願いして良かったです。
とっても可愛い帽子や小物で、おくるみもとても慣れた様子で巻いて頂き、安心してお任せ出来ました。おくるみがお腹の中を思い出したのか撮影中とてもスヤスヤ気持ち良さそうに眠っていました。
データが届くのもとても楽しみです。ありがとうございました！"
OK,2026/04/18,5,"今日は産後の急な依頼にも関わらず遠い所から来てくださりありがとうございました😊!!
来てくださった時、目がぱっちりで寝てくれるのか不安だったのですが優しい声かけとトントンで段々と眠くなってスヤスヤと眠りについてくれました！！
小物も可愛くて何パターンも撮ってくれていたので仕上がりのデータ凄く楽しみです😌
上の子が少し眠たくなってきてたので姉妹ショット半ば諦めてたのですが娘のテンションも上げてくれてニコニコ笑顔の写真もとってもらえたことが凄く嬉しかったです♪"
OK,2026/04/19,5,"とっても可愛く撮っていただき素敵な記念になりました。
撮影もスムーズで助かりました。"
OK,2026/04/30,4,"Instagramで見つけてニューボーンフォトをお願いしました。
とても丁寧に対応してくださり赤ちゃんも安心してぐっすり寝てくれたのでとても良い写真を撮る事ができて良かったです。"
OK,2026/04/30,5,"撮影前に撮影のための段取りを
懇切丁寧に教えていただけたため
当日を安心して迎えることができました。
当日の撮影パターンは
おまかせでお願いしました。
撮影セットの小物も可愛いものが
たくさんありました。
全カットとてもセンスがよく
カットが変わるたびに
旦那と2人で「かわいい♡」の連発！
撮影のために準備した
命名書や結婚指輪、エコー写真も
すごく素敵な写真に残してもらいました。
もし次の機会があれば
またぜひお願いしたいと思います。"
OK,2026/05/01,5,色々な小物でたくさんのパターンで撮って頂き、可愛い姿が見れて大変満足です
OK,2026/05/03,5,"今回初めてのニューボーンフォトで、七色Photo Works さんのモニター枠を利用させていただきました
ニューボーンフォトに興味はあったものの産後の状況等不安もありましたが、出産前の手続きから丁寧に対応してくださり、安心できました
撮影がはじまってから、こどもがなかなか寝付けず撮影しにくい場面もあったと思いますが最後まで穏やかにまた、色んなパターンで見ている私たちも楽しませてくださり、ステキな時間を過ごすことができました♡
仕上がりが楽しみです
ありがとうございました"
OK,2026/05/04,4,"本日は、ありがとうございました！
赤ちゃん優先でとても丁寧に対応していただきました。
いろんなポーズの提案と、姉妹写真の際の上の子のわがままなどを聞いていただき、助かりました。
また、自宅で撮影できることから、生後まもない赤ちゃんでも負担少なく撮影できることがとてもよかったです。"
OK,2026/05/08,5,最初から最後までとても丁寧に対応していただきました。赤ちゃんだけでなく、上のお兄ちゃんのタイミングにも合わせていただきとても助かりました。安心してお任せすることができました。夫婦共々感謝しております^_^  また機械がありましたらよろしくお願いします。本当にありがとうございました！
OK,2026/05/09,5,赤ちゃんに話しかけながら着替えさせてくれたり、暴れん坊の兄達にも優しく接してくださったりとご迷惑をかけましたが
OK,2026/05/09,5,"丁寧で話しやすいカメラマンさんでした！
いろんな道具で撮影してくれてこうしたら可愛いなど工夫してくださってたのが好印象でした。
衣装も荷物になるのに全部持って来てくださったり、いろんな提案してくださったりしてとてもいい時間を過ごさせていただきました。
またお願いするタイミングが出来たら次もお願いしたいなと思いました♡
1つだけお願いしたいなと思ったのは、
来て下さる車の車種教えていただけたら
ありがたいなと思いました。
車のこと聞いた時大きめの車かな？
と思ったので、車2台移動させたのですが
1台移動させるだけで充分でした。

撮影に関しては大変満足でした！
主人と2人で出来上がりを楽しみにしております。
この度はありがとうございました！"
OK,2026/05/12,5,"こちら側の都合で希望の日程のご相談をさせていただきましたが、無理を言ったにも関わらず調整してくださって本当にありがたかったです！
他にも、一生に一度のニューボーンフォトということで出来るだけ良いものが撮れるようにと常に考えてくださっていて
撮る前から七彩Photo Works様にお願いして良かったなと思いました🥰
撮影中も色んなパターンをカメラマン様側からご提案していただいたので、スムーズに沢山の可愛い写真を撮ることが出来ました☺️
"
OK,2026/05/16,5,"我が子が産まれたら、ニューボーンフォトを撮るのが夢でした。
撮影中、起きたりしないか不安でしたが終始ずっと寝ててくれてスムーズに写真を撮ることが出来ました。
自分達では撮れないような写真を子供も安心して撮れたのでいい経験になりました。
色の組み合わせやイメージがつかず迷っていると、実際に色を合わせたり、セットして見せて下さりして、とてもイメージがつきやすかったです。
家族で初めての素敵な思い出が出来ました。"
OK,2026/05/19,5,セッティングや衣装が変わるたびに娘のことを可愛い〜！似合ってる〜！とカメラマンさんが褒めてくださったので私たちも楽しく安心して見守ることができました。また先輩ママとして育児に関するのアドバイスもくださりとても価値のある時間になりました。
OK,2026/05/16,5,"ニューボーンフォト📸ありがとうございました！
新生児期だけの特別な写真(*^o^*)記念に残せて、大満足です！

上の子がグズグズになってしまっても、根気よく声をかけてくださったり、本当に丁寧に接していただき、とても助かりました(T-T)感謝です。

時間もちょうど良く、上の子もベビーも無理のないスケジュールでした💗

今後も、また子ども達の記念日などで撮影をお願い出来たらなぁ・・・
そんなプランができる日を楽しみにしてます(*^o^*)"
OK,2026/05/13,5,"赤ちゃんの様子に合わせてスムーズに撮影を進めてくださって安心しました☺️
寝かしつけもお上手でさすがだなと思いました！
娘を何度も可愛いと褒めてくださって嬉しかったです🤍
こちらの要望も聞いてくださってとっても素敵な写真が残せて大満足です😊
ありがとうございました🌟"
